Job_Role,Pay,Location,State,Submit_Date,Hire_Date
ENTERPRISE DATA SERVICE - MEMBER OF TECHNICAL STAFF,98925,DALLAS TX,TX,7/25/2018,8/6/2018
FULL - STACK SOFTWARE ENGINEER - APPLICATION DEVELOPMENT,142168,SAN FRANCISCO CA,CA,4/11/2018,4/18/2018
FULL STACK DATA ENGINEER,107786,PALO ALTO CA,CA,3/26/2018,8/26/2018
FULL STACK DATA ENGINEER,110864,PALO ALTO CA,CA,2/26/2018,8/26/2018
FULL-STACK SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,3/23/2018,4/2/2018
GLOBAL CONSUMER GOODS INDUSTRY SOLUTIONS LEADER,163134,SAN FRANCISCO CA,CA,3/6/2018,9/1/2018
GO TO MARKET SENIOR MANAGER,151986,SAN FRANCISCO CA,CA,3/29/2018,9/1/2018
GO TO MARKET SENIOR MANAGER,163134,SAN FRANCISCO CA,CA,3/6/2018,9/1/2018
IMPLEMENTATION ARCHITECT,115482,CHICAGO IL,IL,5/22/2018,6/4/2018
IMPLEMENTATION ARCHITECT,115482,CHICAGO IL,IL,6/12/2018,6/20/2018
INFORMATION SECURITY ENGINEER,111197,SAN FRANCISCO CA,CA,3/5/2018,7/31/2018
INNOVATION DIRECTOR RESEARCH,149261,SAN FRANCISCO CA,CA,11/1/2018,11/13/2018
IT DATABASE ENGINEER,109554,SAN FRANCISCO CA,CA,1/4/2018,4/27/2018
IT RELEASE MANAGER,142168,SAN FRANCISCO CA,CA,2/7/2018,2/26/2018
LAB MANAGER,143208,SAN FRANCISCO CA,CA,1/11/2018,1/22/2018
LEAD ACCOUNTANT,92206,SAN FRANCISCO CA,CA,10/10/2018,4/5/2019
LEAD ACCOUNTANT,105227,SAN FRANCISCO CA,CA,6/15/2018,11/27/2018
LEAD ACCOUNTANT,105227,SAN FRANCISCO CA,CA,6/28/2018,11/17/2018
LEAD APPLICATION SECURITY ENGINEER M&A,127920,BURLINGTON MA,MA,3/12/2018,3/19/2018
LEAD BIG DATA DEVOPS ENGINEER,134618,BELLEVUE WA,WA,3/13/2018,3/26/2018
LEAD CCE ENGINEER,122283,BURLINGTON MA,MA,10/12/2018,4/13/2019
LEAD DATA ENGINEER,155147,PALO ALTO CA,CA,1/19/2018,2/2/2018
LEAD DATA SCIENTIST,129106,SAN FRANCISCO CA,CA,5/2/2018,5/14/2018
LEAD DATABASE ENGINEER,129418,SAN FRANCISCO CA,CA,3/14/2018,8/31/2018
LEAD DISTRIBUTED SYSTEMS DEVELOPER,134618,BELLEVUE WA,WA,1/26/2018,2/5/2018
LEAD DISTRIBUTED SYSTEMS DEVELOPER SOFTWARE DEFINED SECURI,122450,BELLEVUE WA,WA,7/20/2018,8/6/2018
LEAD GROWTH ANALYST PRODUCT DATA SCIENCE,133141,SAN FRANCISCO WA,WA,2/12/2018,8/11/2018
LEAD MEMBER  OF TECHNICAL STAFF,142168,SAN FRANCISCO CA,CA,3/20/2018,9/7/2018
LEAD MEMBER OF TECHNICAL STAFF,133141,SAN FRANCISCO CA,CA,5/10/2018,5/21/2018
LEAD MEMBER OF TECHNICAL STAFF,134618,BELLEVUE WA,WA,2/8/2018,8/8/2018
LEAD MEMBER OF TECHNICAL STAFF,134618,BELLEVUE WA,WA,1/16/2018,1/29/2018
LEAD MEMBER OF TECHNICAL STAFF,142168,SAN FRANCISCO CA,CA,2/15/2018,2/26/2018
LEAD MEMBER OF TECHNICAL STAFF,142168,SAN FRANCISCO WA,WA,3/5/2018,8/31/2018
LEAD MEMBER OF TECHNICAL STAFF,154315,BELLEVUE WA,WA,9/25/2018,10/1/2018
LEAD MEMBER OF TECHNICAL STAFF,154315,BELLEVUE WA,WA,7/19/2018,7/30/2018
LEAD MEMBER OF TECHNICAL STAFF,157706,SAN FRANCISCO CA,CA,8/21/2018,1/25/2019
LEAD MEMBER OF TECHNICAL STAFF,174117,SAN FRANCISCO CA,CA,10/12/2018,10/15/2018
LEAD MEMBER OF TECHNICAL STAFF,174117,SAN FRANCISCO CA,CA,11/6/2018,5/7/2019
LEAD MEMBER OF TECHNICAL STAFF DATA MODELER,133141,SAN FRANCISCO CA,CA,5/9/2018,5/21/2018
LEAD MEMBER OF TECHNICAL STAFF INFRASTRUCTURE ENGINEER,152984,SAN FRANCISCO CA,CA,3/27/2018,9/5/2018
LEAD MEMBER OF TECHNICAL STAFF SOFTWARE ENGINEER,132080,BELLEVUE WA,WA,1/15/2018,7/15/2018
LEAD MEMBER OF TECHNICAL STAFF SOFTWARE ENGINEERING,153774,SAN FRANCISCO CA,CA,2/20/2018,8/20/2018
LEAD MEMBER OF THE TECHNICAL STAFF,157706,SAN FRANCISCO CA,CA,8/31/2018,9/17/2018
LEAD NETWORK ENGINEER,142168,SAN FRANCISCO CA,CA,4/5/2018,7/16/2018
LEAD PERFORMANCE AUTOMATION PERFORMANCE ENGINEER LMTS,142168,SAN FRANCISCO CA,CA,3/6/2018,8/31/2018
LEAD PRODUCT DESIGNER,84864,SAN FRANCISCO CA,CA,2/16/2018,8/15/2018
LEAD SITE RELIABILITY ENGINEER,157706,PALO ALTO CA,CA,10/30/2018,11/13/2018
LEAD SOFTWARE DATABASE ENGINEER,135491,HERNDON VA,VA,5/16/2018,5/16/2018
LEAD SOFTWARE ENGINEER,95805,INDIANAPOLIS IN,IN,3/15/2018,9/13/2018
LEAD SOFTWARE ENGINEER,100714,INDIANAPOLIS IN,IN,7/17/2018,7/31/2018
LEAD SOFTWARE ENGINEER,100714,INDIANAPOLIS IN,IN,8/30/2018,9/17/2018
LEAD SOFTWARE ENGINEER,134618,BELLEVUE WA,WA,2/6/2018,2/19/2018
LEAD SOFTWARE ENGINEER,135491,HERNDON VA,VA,5/8/2018,5/14/2018
LEAD SOFTWARE ENGINEER,135491,HERNDON CA,CA,5/2/2018,5/14/2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,6/15/2018,12/14/2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,3/3/2018,8/31/2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,2/7/2018,7/30/2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,4/3/2018,9/28/2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,1/18/2018,6/25/2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,3/14/2018,9/9/2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,2/6/2018,6/25/2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,2/7/2018,7/30/2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,6/5/2018,6/19/2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,3/26/2018,8/15/2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,1/4/2018,6/25/2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,4/3/2018,9/21/2018
LEAD SOFTWARE ENGINEER,147597,SAN FRANCISCO CA,CA,8/2/2018,1/31/2019
LEAD SOFTWARE ENGINEER,153774,SAN FRANCISCO CA,CA,4/3/2018,4/9/2018
LEAD SOFTWARE ENGINEER,153774,SAN FRANCISCO CA,CA,6/18/2018,6/25/2018
LEAD SOFTWARE ENGINEER,154315,BELLEVUE WA,WA,8/6/2018,8/20/2018
LEAD SOFTWARE ENGINEER,157706,SAN FRANCISCO CA,CA,10/30/2018,11/13/2018
LEAD SOFTWARE ENGINEER,157706,SAN FRANCISCO CA,CA,9/6/2018,2/14/2019
LEAD SOFTWARE ENGINEER,164674,PALO ALTO CA,CA,10/1/2018,10/8/2018
LEAD SOFTWARE ENGINEER,174117,PALO ALTO CA,CA,9/25/2018,10/1/2018
LEAD SOFTWARE ENGINEER,174117,SAN FRANCISCO CA,CA,9/27/2018,10/8/2018
LEAD SOFTWARE ENGINEER,174117,SAN FRANCISCO CA,CA,9/27/2018,3/22/2019
LEAD SOFTWARE ENGINEER,174117,SAN FRANCISCO CA,CA,7/10/2018,7/16/2018
LEAD SOFTWARE ENGINEER,174117,SAN FRANCISCO CA,CA,8/27/2018,2/6/2019
LEAD SOFTWARE ENGINEER,174117,SAN FRANCISCO CA,CA,9/11/2018,3/11/2019
LEAD SOFTWARE ENGINEER - INFRASTRUCTURE,153774,SAN FRANCISCO CA,CA,6/20/2018,7/2/2018
LEAD SOFTWARE ENGINEER - PLATFORM DEVELOPMENT,153774,SAN FRANCISCO CA,CA,2/26/2018,3/12/2018
LEAD SOFTWARE ENGINEER PERFORMANCE,174117,SAN FRANCISCO CA,CA,9/11/2018,9/24/2018
LEAD SOFTWARE QUALITY ENGINEER,174117,SAN FRANCISCO CA,CA,10/1/2018,10/8/2018
LEAD SOLUTION ENGINEER,114026,NEW YORK NY,NY,3/27/2018,9/25/2018
LEAD SOLUTION ENGINEER,120245,SAN FRANCISCO CA,CA,6/12/2018,9/28/2018
LEAD SOLUTION ENGINEER - PLATFORM,119226,CHICAGO IL,IL,1/19/2018,2/5/2018
LEAD SOLUTIONS MANAGER,156686,SAN FRANCISCO CA,CA,8/17/2018,9/3/2018
LEAD SOLUTIONS MANAGER,168189,SAN FRANCISCO CA,CA,9/5/2018,9/19/2018
LEAD SYSTEMS SPECIALIST,121930,DALLAS TX,TX,10/17/2018,10/22/2018
LEAD TECHNICAL WRITER,100942,SAN FRANCISCO CA,CA,1/24/2018,7/2/2018
LEAD UX ENGINEER ACCESSIBILITY,142168,SAN FRANCISCO CA,CA,2/16/2018,8/15/2018
LMTS SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,2/9/2018,8/2/2018
LMTS SOFTWARE ENGINEERING,142168,SAN FRANCISCO CA,CA,5/15/2018,5/28/2018
LMTS SOFTWARE ENGINEERING,147597,SAN FRANCISCO CA,CA,9/25/2018,3/21/2019
LMTS SOFTWARE ENGINEERING,147597,SAN FRANCISCO CA,CA,11/8/2018,3/18/2019
LMTS SOFTWARE ENGINEERING,174117,SAN FRANCISCO CA,CA,10/23/2018,4/20/2019
LMTS SOFTWARE ENGINEERING,174117,SAN FRANCISCO CA,CA,11/9/2018,4/20/2019
LMTS SOFTWARE ENGINEERING,174117,SAN FRANCISCO CA,CA,8/30/2018,2/26/2019
MAKER EDUCATION INITIATIVES MANAGER,151424,SAN FRANCISCO CA,CA,3/22/2018,4/2/2018
MAKER EDUCATION INITIATIVES MANAGER,151424,SAN FRANCISCO CA,CA,2/27/2018,8/16/2018
MANAGER - DATABASE PERFORMANCE,163134,SAN FRANCISCO CA,CA,4/13/2018,10/1/2018
MANAGER SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,4/27/2018,5/4/2018
